;school;Y;X;M;Z1;Z2;Z3
1;1;44.71394499;0.984858671;51.48699912;-1.227415337;0;-1.307604084
2;1;38.84613118;3.495864621;49.52604731;-0.521230112;0;0.649076183
3;1;39.93277082;0.768021024;48.87413545;-0.704712449;0;-0.541094762
4;1;51.47214926;3.077015738;49.98111068;0.68743747;1;-0.988773
5;1;43.66823698;2.287245102;51.58975671;0.547592896;1;0.741997508
6;1;49.23039901;2.022498908;50.85747298;-2.065852804;0;0.430753498
7;1;36.79112925;0.7288613;45.21649907;-1.165818749;1;-2.340466644
8;1;44.31250639;0.945794061;47.5012391;-1.179250527;0;-0.801345085
9;1;50.1154418;2.407379238;52.7267003;-0.02975936;1;-1.429524792
10;1;45.5274695;2.68682041;51.78460472;1.151521791;0;1.116147362
11;1;43.40230816;4.303758287;53.02033453;2.208661703;0;0.610902366
12;1;47.11109531;4.232426123;50.25407284;0.440132783;0;-0.367348006
13;1;41.3010315;1.98420945;48.13840368;1.043165988;0;-0.589581867
14;1;44.03091222;1.40853793;45.82850795;0.125676745;1;-0.334260063
15;1;42.66658692;0.279100897;49.286685;-1.265249455;1;-0.568008136
16;1;42.81231987;1.354572367;50.92983552;0.374360037;1;-0.624310441
17;1;48.36550654;2.45510304;55.26258064;-0.199609415;1;-0.936150267
18;1;48.45390994;1.827378695;53.82054489;1.154782904;0;-1.051806658
19;1;45.74528762;1.922458513;47.71365506;-0.56170571;0;0.226105987
20;1;49.17326579;0;48.96132621;-1.137756607;1;-0.970503848
21;2;48.97225011;0.566538561;51.78231864;-1.293370093;0;0.110604147
22;2;47.22316108;3.289137789;52.90584735;1.124811943;0;0.974694135
23;2;47.92655608;2.444038905;51.4545097;-0.701000727;1;-1.329571336
24;2;45.66850451;2.450659657;49.71773908;-0.02887581;1;-0.278162427
25;2;43.80094411;1.95817024;51.02620013;-0.624974887;0;-2.525010069
26;2;42.603478;0.711759358;48.38786065;-1.83036802;1;-1.295684004
27;2;42.83380737;4.821663248;50.55233382;1.904793167;0;1.365228267
28;2;38.40265546;2.632179925;49.0204021;0.529919115;0;-0.547728548
29;2;50.68028572;2.234465903;52.49364616;-0.264790949;0;-1.610128709
30;2;54.74875205;3.118021423;53.61072611;0.907147246;1;0.474684137
31;2;47.87944546;2.706082019;53.86784532;-0.265268578;0;-0.167061255
32;2;40.43710287;1.134400395;47.17411403;-0.328567471;0;-0.543576527
33;2;50.09183755;0.286850769;51.10718719;-1.303676362;0;-2.135601537
34;2;50.4468361;1.772241445;55.08524895;-0.197289436;0;-0.303318873
35;2;45.28399138;3.7540838;51.02374151;-0.711440056;0;-0.273357559
36;2;48.59120958;1.775792921;52.51804382;0.028841378;0;-0.202305469
37;2;35.24291532;0;47.49659266;-1.073494859;1;-1.358597617
38;2;51.52036735;1.160330092;50.56791133;-1.091792064;1;1.42842036
39;2;42.53611221;0;52.33436002;-0.569009628;1;1.53343421
40;2;42.68003227;2.221094621;51.90945755;0.519558126;0;-0.121624827
41;3;43.79683134;1.713924128;50.30566326;-0.970174953;0;-1.037693228
42;3;44.71120001;3.459210465;51.49340549;0.133518574;0;-0.954260571
43;3;44.52562746;2.450915582;51.63308989;-0.649716478;0;0.162678601
44;3;41.67485059;0.88829274;47.81164647;0.036730651;1;-1.079109477
45;3;49.28623807;3.031210001;50.48180386;1.690807058;0;-0.566896118
46;3;41.85527596;2.002929889;50.77436894;-0.843001232;0;-0.809294514
47;3;44.32471007;2.491740135;46.82435539;-1.200772121;1;1.145552836
48;3;44.71310426;1.829920633;49.43580887;0.528077809;0;-1.145092937
49;3;47.65382121;1.363397776;56.88005757;0.326143973;1;1.17893482
50;3;49.40042168;2.701977847;51.71268118;-0.29990908;0;-0.147548186
51;3;44.10638714;2.085289272;49.40006805;0.551737997;0;-1.737187139
52;3;45.2989986;2.204581114;53.69456512;-1.246505459;1;0.681137493
53;3;40.88986245;0.018550287;47.36841451;-0.796453;0;-0.149980665
54;3;46.62310274;3.595054918;52.46898889;1.74334965;0;0.186442208
55;3;45.64326823;2.021258014;54.41892007;0.864051325;1;0.444572095
56;3;48.84643684;3.068179373;54.40826452;0.731203887;0;1.291645477
57;3;48.03954617;2.734388849;52.98555366;1.735166613;1;1.085599269
58;3;44.7364903;0;50.18617211;0.138377185;1;-1.230016005
59;3;45.67074356;2.730283463;48.98337936;0.872057598;1;-1.364205653
60;3;50.71730426;2.773934583;49.67453516;1.050248753;1;-0.079759723
61;4;45.79289738;0.374965123;51.67282461;-1.137438739;1;0.259792265
62;4;51.38208172;1.111090175;55.11422722;-0.043657132;0;0.239693161
63;4;48.07719759;3.520541153;53.30045745;2.393530174;0;0.662373734
64;4;48.68717767;2.993809646;54.91711535;1.24444013;0;0.092148345
65;4;44.81026901;1.950256663;49.08268946;-0.767213057;0;2.02764184
66;4;44.51350435;0.516982064;49.23431091;-2.951514754;0;-1.202593058
67;4;43.49448195;1.829675904;49.70271106;0.329239195;0;0.643736644
68;4;51.60638624;1.050009934;52.91347181;-0.305761611;0;-0.752574413
69;4;46.91016089;1.191135322;49.03551771;-0.712534311;0;0.539891198
70;4;46.99878253;0.9008303;50.84191654;0.292247802;1;1.099707781
71;4;43.54465981;2.594580854;53.176345;1.738942091;1;0.739613028
72;4;48.6987138;2.111795861;53.02273434;-0.002571424;1;-0.068673967
73;4;46.30822564;0.168869186;50.15364481;-0.004464317;1;-0.965413858
74;4;43.81227813;1.55315657;49.85126794;1.561993138;0;-1.316764192
75;4;44.19417284;0;44.91357054;-0.380505955;1;-2.27785449
76;4;53.58139941;1.847821561;49.32469589;-0.632885784;1;0.394979055
77;4;49.15362596;1.975218533;52.77524642;0.137019138;1;-0.365166416
